file,id,note,English,Arabic
Clew/localizations/en.lproj/Localizable.strings,anchorPointIntroductionToSavedText,This is the text which delineates the text that a user saved witht their saved anchor point. This text is shown when a suer loads an anchor point and the text that the user saved with their anchor point appears right after this string.,The Anchor Point information you entered is: ,La información del punto de anclaje que introdujiste es: 
Clew/localizations/en.lproj/Localizable.strings,anchorPointPop-UpCancel,A button for user to click which will close the pop up without saving any information the user put in,Don't specify this information,No especificar esta información
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeAlignTextParagraph1,Align to anchor point page instructions paragraph 1,Nice Job! You've set an anchor point!,
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeAlignTextParagraph2,Align to anchor point page instructions paragraph 2,"Now that you've saved an anchor point, try walking away from it- or wait a few minutes to return to the next exercise.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeAlignTitle,Align to anchor point page title,Align to Anchor Point,
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeFeedbackBadText,anchor point not well aligned text,"Oh no, try again! You were poorly aligned to the saved anchor point. This would have resulted in a route navigation with significant errors. Try practicing again to get a perfect alignment.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeFeedbackGoodText,anchor point well aligned text,"Good job! You were fairly aligned to the saved anchor point, which would have resulted in a route navigation with some potential misalignment. Try practicing again to get a perfect alignment.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeFeedbackPerfectText,anchor point perfectly aligned text,"Great job! You were very well aligned to the saved anchor point, which would have resulted in a very good route navigation. You now know how to find and align to anchor points and you're ready to start saving routes.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeRetryAlignButton,button text to retry aligning the anchor point,Retry Finding Anchor Point Step,
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeRetryButton,button text to retry setting the anchor point,Restart Practice,
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeSetTutorialTextParagraph1,Set an anchor point practice page instructions paragraph 1,"This exercise will have you practice setting an anchor point. Remember to choose a location for your anchor point that you can easily find at some later time. You'll practice setting the anchor point using the physical alignment method. Remember to position your phone flat with the screen facing up against a vertical edge of a wall, or doorframe or a table.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeSetTutorialTextParagraph2,Set an anchor point practice page instructions paragraph 2,"Press the Set Anchor Point button, position your phone, and wait for the countdown.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeSetTutorialTitle,"You could also try pressing the top edge of your phone against a table, wall or doorway and then setting the anchor point. That way when you go to find the spot where you should set the anchor point again, you only have to find a table or wall again and then you know you're at least pretty close."";",Setting an Anchor Point,
Clew/localizations/en.lproj/Localizable.strings,anchorPointTextHeading,Anchor Points,Anchor Point information,Información sobre el punto de anclaje
Clew/localizations/en.lproj/Localizable.strings,anchorPointTextPlaceholder,A placeholder that appears in text box which the user uses to enter a text label for an anchor point.,Enter Anchor Point information,Introduce la información del punto de anclaje
Clew/localizations/en.lproj/Localizable.strings,anchorPointTextPop-UpConfirmation,"A button for user to click to confirm the text note they added to their anchor point and close a pop-up
   What the user clicks to acknowledge a message and dismiss pop-up",Ok,Ok
Clew/localizations/en.lproj/Localizable.strings,anchorPointTextPrompt,Prompts user to enter descriptive text about their anchor point,Enter text about the Anchor Point that will allow you to find the exact same point later on.,Introduce el texto sobre el punto de anclaje que te permitirá encontrar el mismo punto más adelante.
Clew/localizations/en.lproj/Localizable.strings,anchorPointsTutorialText,Instructions for setting anchor points,Setting anchor points is an important skill that is needed in order to save routes or pause navigation. Anchor points allow Clew to record your position and orientation within the route's environment. The anchor point realigns you to the correct path whenever you want to navigate a route that has been saved for later use and they are essential to Clew's navigation accuracy.,
Clew/localizations/en.lproj/Localizable.strings,anchorPointsTutorialTitle,"this is the title of the anchor points tutorial section
   Title for the anchor point part of the tutorial",Setting and Finding Anchor Points,
Clew/localizations/en.lproj/Localizable.strings,appFeaturesCurrentVersionHeading,this is a heading in the help documentation and part of the app features section.,Current Version,Versión actual
Clew/localizations/en.lproj/Localizable.strings,appFeaturesFutureVersionsContent,this is a paragraph in the app Features section of the help documentation which describes the features which are under development for future versions of the app.,We are working on improving alignment mechanisms to make it easier and quicker to begin navigation of routes.,Estamos trabajando en la mejora de los mecanismos de alineación para facilitar y agilizar el inicio de la navegación de las rutas.
Clew/localizations/en.lproj/Localizable.strings,appFeaturesFutureVersionsHeader,This is a heading in the app features section of the help documentation.,Future Versions,Versiones futuras
Clew/localizations/en.lproj/Localizable.strings,appFeaturesHeading,this is a heading in the help documentation. it is also used for the creation of the accessibility labels used to inform the user as to how to interact with the help documantatio's accordian menu,App features,Características de la aplicación
Clew/localizations/en.lproj/Localizable.strings,appSoundsAndTheirMeaningsContent,This is a paragraph in the App sounds and their meanings section.,"In addition to the auditory guidance that you get when navigating along a route (described previously), there are some additional sounds that help you understand what is currently happening with the app. If you have enabled the speech feedback option in the app settings, each of these sounds is accompanied by speech that briefly explains the sounds meaning. Note that these sounds are not delivered when you are in the help menu (to avoid distracting you while you are reading through the help information).","Además de la guía sonora que recibes al navegar por una ruta (descrita anteriormente), hay algunos sonidos adicionales que te ayudan a entender lo que está sucediendo en la aplicación. Si has activado la opción de retroalimentación de voz en los ajustes de la app, cada uno de estos sonidos va acompañado de un mensaje verbal que explica brevemente su significado. Ten en cuenta que estos sonidos no se emiten cuando estás en el menú de ayuda (para evitar distraerte mientras lees su información)."
Clew/localizations/en.lproj/Localizable.strings,appSoundsAndTheirMeaningsHeader,This is a section header in the help documentation,App sounds and their meanings,Los sonidos de la aplicación y sus significados
Clew/localizations/en.lproj/Localizable.strings,appSoundsAndTheirMeaningsMotionTrackingWarningSoundBullet,This is a bullet point which describes the motion tracking warning sound and its meaning,Motion tracking warning sound: this sound is a short recording of a stringed instrument playing a slightly scratchy note. This sound indicates that the app's position tracking has been degraded either due to the phone moving too rapidly or due to the environment not having an adequate amount of visual detail. The latter condition occurs if your environment is too dark or if the camera is occluded.,Sonido de advertencia de Seguimiento de movimiento: este sonido es una breve grabación de un instrumento de cuerda que toca una nota ligeramente rasposa. Indica que el seguimiento de la posición de la aplicación se ve afectado debido a que el teléfono se mueve demasiado rápido o a que el entorno no tiene una cantidad adecuada de detalles visuales. Esta última condición ocurre si el entorno es demasiado oscuro o si la cámara está ocluida.
Clew/localizations/en.lproj/Localizable.strings,appSoundsAndTheirMeaningsNormalMotionTrackingSoundBullet,This is a bullet point which describes the normal motion tracking sound and its meaning,"Normal motion tracking sound: this sound is a short recording of a brass instrument. It indicates that the app's position tracking has entered into the &quot;normal&quot; state. If the app has just started up this means that the motion tracking is now active. If the app previously experienced diminished accuracy, see next sound description, it means that the motion tracking has recovered. If you hear this sound after loading or resuming a route, this means that ARKit has been able to automatically align the route to the recording.","Sonido de seguimiento de movimiento normal: este sonido es una grabación corta de un instrumento de viento. Indica que el seguimiento de la posición de la aplicación ha entrado en el estado &quot;normal&quot;. Si la app acaba de arrancar, esto significa que el seguimiento de movimiento está ahora activo. Si la aplicación experimentaba anteriormente una disminución en la precisión (mira la siguiente descripción de los sonidos) significa que el seguimiento del movimiento se ha recuperado. Si oyes este sonido después de cargar o reanudar una ruta, significa que ARKit ha sido capaz de alinear automáticamente la ruta con la grabación."
Clew/localizations/en.lproj/Localizable.strings,appfeaturesCurrentVersionContent,this is a paragraph in the app features section of the help menu which describes the main features of Clew,"Clew allows you to record routes using your phone so that you can then navigate them at a later point in time with precise, automatic guidance from the app. Clew can be used in situations where you want to immediately navigate back to your starting location (e.g., if you went somewhere with a sighted guide or if it is harder to navigate the reverse journey) or when you want to remember a route that you are learning so you can navigate it more confidently in the future.  Importantly, Clew does not use your phone's GPS, so it can be used indoors.","Clew te permite grabar rutas usando tu teléfono para que puedas navegar por ellas en un momento posterior con una guía precisa y automática. Puedes utilizarla en situaciones en las que desees navegar inmediatamente de vuelta a tu posición de partida (por ejemplo, si fuiste a algún lugar con un guía o si es más difícil navegar en la ruta inversa) o cuando desees recordar una ruta que estás aprendiendo para poder recorrerla con más confianza en un futuro.  Cabe destacar que Clew no utiliza el GPS del teléfono, por lo que puede utilizarse en interiores."
Clew/localizations/en.lproj/Localizable.strings,applesARWorldMapTutorialTextParagraph1,Text of the AR world map part of the tutorial paragraph 1,"Apple's ARWorld map can help make the process of finding and aligning to a saved anchor point easier. Especially for those that have newer iPhone models and for environments with consistent, artificial lighting, the physical alignment can simply be achieved by holding the phone in the vertical pose. However, we recommend that you be consistent in holding the phone pose and relocalizing yourself as best as possible to the originally saved anchor point in order to ensure the best accuracy from Clew.",
Clew/localizations/en.lproj/Localizable.strings,applesARWorldMapTutorialTextParagraph2,Text of the AR world map part of the tutorial paragraph 2,Next you will have a chance to practice setting and aligning to anchor points.  Tap the 'Practice' button to start the exercise.,
Clew/localizations/en.lproj/Localizable.strings,applesARWorldMapTutorialTitle,Title of the AR world map part of the tutorial,Apple's ARWorld Map,
Clew/localizations/en.lproj/Localizable.strings,automaticAlignmentPlayPauseViewText,Play/Pause text,You have been automatically realigned with your route. Press the play button to perform navigation.,Realineación automática con la ruta. Pulsa el botón de reproducción para iniciar la navegación.
Clew/localizations/en.lproj/Localizable.strings,automaticEmailTextWhenSharingRoutes,Sharing routes,Check out this route!,Comparte esta ruta.
Clew/localizations/en.lproj/Localizable.strings,badServiceButtonAccessibilityLabel,,Bad,Malo
Clew/localizations/en.lproj/Localizable.strings,buttonTexttoExitTutorial,Tutorial,Exit,
Clew/localizations/en.lproj/Localizable.strings,buttonTexttoNextScreenTutorial,Text on the button that brings user to the next page of the tutorial,Next,
Clew/localizations/en.lproj/Localizable.strings,buttonTexttoSkip,"Text on skip button
   Text on the button that brings user to the next page of the tutorial
   Text on the button that brings user to the next section of the tutorial",Skip,
Clew/localizations/en.lproj/Localizable.strings,cancelPop-UpButtonLabel,A button which closes the current pop up,Cancel,Cancelar
Clew/localizations/en.lproj/Localizable.strings,clewAppLogoAccessibilityText,HelpCompiler.swift,The Clew App Logo,El logotipo de la app Clew
Clew/localizations/en.lproj/Localizable.strings,clewHelpTitle,This is the top heading of the help documentation,Clew Help,Ayuda de Clew
Clew/localizations/en.lproj/Localizable.strings,climbStairsDirection,Strings from Navigation, and proceed upstairs, y sube las escaleras
Clew/localizations/en.lproj/Localizable.strings,completedNavigationAnnouncement,An announcement which is played to notify the user that they have arrived at the end of their route.,You've arrived.,Ya has llegado.
Clew/localizations/en.lproj/Localizable.strings,contractSectionAccessibilityTag,This is a tag that is spoken by the accessibility elements. This tag describes the action a user must take to collapse one of the sections in the help documentation,contract section,Contraer sección
Clew/localizations/en.lproj/Localizable.strings,currentSiriShortcuts,this is header text for the list of current Siri shortcuts the user has created within the Clew app,Current Siri Shortcuts for Clew,
Clew/localizations/en.lproj/Localizable.strings,declineTurnOnAdjustOffsetButton,A button which declines to turn on the adjust offset feature,No,No
Clew/localizations/en.lproj/Localizable.strings,deleteActionText,This is the text that appears when a user tries to delete a saved route. This text is used in an option menu when a route is selected and it describes the action for deleting a route.,Delete,Eliminar
Clew/localizations/en.lproj/Localizable.strings,descendStairsDirection,This is a direction which instructs the user to descend stairs, and proceed downstairs, y baja las escaleras
Clew/localizations/en.lproj/Localizable.strings,directionalCuesTutorialInstructionText,Instructions for the directional cues part of the tutorial,"Clew will provide directional cues as soon as you begin navigating a route and to keep oriented correctly. The app will announce directions whenever you pass through a waypoint or virtual crumb. The directional cues include: continue straight, slight right, slight left, turn right, turn left. Clew will also announce when you have reached the end of the route.",
Clew/localizations/en.lproj/Localizable.strings,directionalCuesTutorialTitleText,Title for the directional cues part of the tutorial,Directional Cues,
Clew/localizations/en.lproj/Localizable.strings,dismissSurvey,"dismiss the keyboard in the feedback form
   this is the button text that dismisses the survey
   This is used for dismissing popovers",Dismiss,Descartar
Clew/localizations/en.lproj/Localizable.strings,endOfTutorialMainText,the main text at the end of the Clew tutorial,Nice Job! You've completed the Clew tutorial. You can come back to this information at anytime through the menu options or by pressing the help button on the Clew main screen.,
Clew/localizations/en.lproj/Localizable.strings,endOfTutorialTitleText,The title of the tutorial page that shows up when you complete the tutorial,End of Tutorial,
Clew/localizations/en.lproj/Localizable.strings,enterAnchorPointDescriptionButtonAccessibilityLabel,This is the accessibility label for the button which allows the user to save a text based description of their anchor point when saving a route. This feature should allow the user to more easily realign with their anchorpoint.,Enter text to help you remember this Anchor Point,Introduce un texto que te ayude a recordar este punto de anclaje
Clew/localizations/en.lproj/Localizable.strings,enterAnchorPointVoiceNoteButtonAccessibilityLabel,This is the accessibility label for the button which allows the user to save a voice note description of their anchor point when saving a route. This feature should allow the user to more easily realign with their anchorpoint.,Record audio to help you remember this Anchor Point,Graba un audio que te ayude a recordar este punto de anclaje
Clew/localizations/en.lproj/Localizable.strings,excessiveMotionDegradedTrackingAnnouncemnt,An announcement which lets the user know that there is too much movement of their device and thus the app's ability to track a route has been lowered.,"Excessive motion.
Tracking performance is degraded.","Movimiento excesivo.
El rendimiento del seguimiento se ve afectado."
Clew/localizations/en.lproj/Localizable.strings,exitTutorial,Text on the button that exits the tutorial after the user has gone through it the whole thing,Exit Tutorial,
Clew/localizations/en.lproj/Localizable.strings,expandSectionAccessibilityTag,This is a tag that is spoken by the accessibility elements. This tag describes the action a user must take to expand one of the sections in the help documentation,expand section,Expandir sección
Clew/localizations/en.lproj/Localizable.strings,feedbackButtonAccessibilityLabel,,Feedback,Opina
Clew/localizations/en.lproj/Localizable.strings,feedbackMenuTitle,FeedbackViewController.swift,Contact Us,Opina sobre Clew
Clew/localizations/en.lproj/Localizable.strings,findPathPractice1InstructionTextParagraph1,Text for the instructions of the first following route practice paragraph 1,This first exercise will have you practice the simple route in order to get you accustomed to Clew's sounds and feedback. This first route will guide you forward a few steps and then announce the end of the route. Pay particular attention to the sounds and directional cues.,
Clew/localizations/en.lproj/Localizable.strings,findPathPractice1InstructionTextParagraph2,Text for the instructions of the first following route practice paragraph 2,Please make sure that you're in a familiar area with sufficient space to move about before you begin this exercise. ,
Clew/localizations/en.lproj/Localizable.strings,findPathPractice1InstructionTextParagraph3,Text for the instructions of the first following route practice paragraph 3,Tap the 'Practice' button and then tap 'Play' to begin the exercise.,
Clew/localizations/en.lproj/Localizable.strings,findPathPractice1Title,Text for the title of the first following route practice.,Practice Your First Route,
Clew/localizations/en.lproj/Localizable.strings,findPathPractice2InstructionText,Text for the instructions of the second following route practice.,Here you will practice following a Clew Route. Make sure you are in a familiar place with some open space around you. This path will guide you forward a few steps and then you will pass through a waypoint and be instructed to turn right. Then you will take a few more steps and then arrive. Select begin to enter the practice route.,
Clew/localizations/en.lproj/Localizable.strings,findPathPractice2Title,Text for the title of the second following route practice.,Practice Second Path,
Clew/localizations/en.lproj/Localizable.strings,findPathPracticeSuccess1Text,Text for the success of the first practice route.,You've completed your first route. Continue to the next exercise to try another route.,
Clew/localizations/en.lproj/Localizable.strings,findPathPracticeSuccess2Text,Text for the success of the second practice route.,You now know how to navigate a route! You may continue the tutorial or go to the Home Screen and try performing a Single Use Route. Remember that practice makes perfect!,
Clew/localizations/en.lproj/Localizable.strings,findPathPracticeSuccessTitle,Text for the title of the success page for following route practice.,Congratulations!,
Clew/localizations/en.lproj/Localizable.strings,findPathTutorialButtonText,Title for the finding and following path part of the tutorial,Following a Route,
Clew/localizations/en.lproj/Localizable.strings,findPathTutorialInstructionText,Text that explains what it sounds and feels like to be on the path and following the path,"Clew will make sounds, haptic feedback and provide directional audio cues whenever you are navigating a route. These distinct sounds, feedback and directional cues enable you to navigate the route correctly. They help you know when you are correctly on the path or if you are slightly off the correct path or have completely deviated from the route.",
Clew/localizations/en.lproj/Localizable.strings,findingAnAnchorPointTutorialTextParagraph1,Text of the finding your anchor point part of the tutorial paragraph 1,"The accuracy of the navigation will depend on how well you can realign yourself to the saved anchor point. To find and realign yourself to a saved anchor point, you should try to position yourself as closely as possible to the exact location of the originally saved anchor point.",
Clew/localizations/en.lproj/Localizable.strings,findingAnAnchorPointTutorialTextParagraph2,Text of the finding your anchor point part of the tutorial paragraph 2,"Finding the saved anchor point from the physical alignment requires you to hold your phone in the same horizontal or flat pose, pressing it against the same edge that was used to set the anchor point.",
Clew/localizations/en.lproj/Localizable.strings,findingAnAnchorPointTutorialTextParagraph3,Text of the finding your anchor point part of the tutorial paragraph 3,Finding the saved anchor point from the visual alignment simply requires you to hold the phone in the vertical pose and realign the camera to the same location that was used to set the original anchor point.,
Clew/localizations/en.lproj/Localizable.strings,findingAnAnchorPointTutorialTitle,Title of the finding your anchor point part of the tutorial,Finding an Anchor Point,
Clew/localizations/en.lproj/Localizable.strings,findingSavedAnchorPointTextParagraph1,Find anchor point page instructions paragraph 1,"This exercise will have you practice finding and realigning yourself to a saved anchor point. After some time, try returning to the same location of your anchor point. Next realign your phone to the same position.",
Clew/localizations/en.lproj/Localizable.strings,findingSavedAnchorPointTextParagraph2,Find anchor point page instructions paragraph 2,"Hold your phone in the same horizontal or flat pose, pressing it against the same edge that was used to set the anchor point.",
Clew/localizations/en.lproj/Localizable.strings,findingSavedAnchorPointTextParagraph3,Find anchor point page instructions paragraph 3,Press the Find Anchor Point button. Wait for the countdown to complete. The app will provide feedback about how closely aligned you were to the saved anchor point.,
Clew/localizations/en.lproj/Localizable.strings,findingSavedAnchorPointTitle,Find anchor point page title,Finding the Saved Anchor Point,
Clew/localizations/en.lproj/Localizable.strings,findingSavedRoutesTutorialButtonText,"""voiceNotesTutorialInstructionText"" = ""When recording a saved route, there is a button on the right that allows you to record a voice note. A voice note is a note you can leave yourself, that will play when you go to use the save route that you are recording. It can be any information that is helpful to you, such as noting where a landmark like a doorway or front desk is as you pass, or instructions for your future self. Later when you go to use a save route the voice notes will appear as speaker icons on your path at the point they were recorded. As you pass the note will play."";",Finding Saved Routes,
Clew/localizations/en.lproj/Localizable.strings,findingSavedRoutesTutorialInstructionText,,"Once you save a route, it can be found in your Saved Routes List. You can enter the list from the third button on the home screen. From the list click the route that you want to follow, line your phone up with your anchor point and follow the route.",
