file,id,note,English,Arabic
Clew/localizations/en.lproj/Localizable.strings,Settings,Settings & Comments: Title/header of the settings menu.,Settings,الإعدادات
Clew/localizations/en.lproj/Localizable.strings,What Can I Use Clew For?,No comment provided by engineer.,What Can I Use Clew For?,
Clew/localizations/en.lproj/Localizable.strings,You could use Clew to navigate between your table and the restroom in a resturant.,No comment provided by engineer.,You could use Clew to navigate between your table and the restroom in a resturant.,
Clew/localizations/en.lproj/Localizable.strings,"You could use Clew when visting a hotel, by saving a Clew route from the front door to the elevator and then save a route from the elevator to your room. Then you could use Clew to navigate those routes whenever you like.",No comment provided by engineer.,"You could use Clew when visting a hotel, by saving a Clew route from the front door to the elevator and then save a route from the elevator to your room. Then you could use Clew to navigate those routes whenever you like.",
Clew/localizations/en.lproj/Localizable.strings,addingALandmarkTutorialTextParagraph1,Instruction for how to add a landmark paragraph 1,Voice notes allow you to record a landmark or leave specific information that you want to hear later when navigating in the return direction. To leave a voice note:,
Clew/localizations/en.lproj/Localizable.strings,addingALandmarkTutorialTextParagraph2,Instruction for how to add a landmark paragraph 2,Tap the voice note button at any time that you are recording a route. The app will then open the voice recorder. Press the record button to leave a voice memo.,
Clew/localizations/en.lproj/Localizable.strings,addingALandmarkTutorialTextParagraph3,Instruction for how to add a landmark paragraph 3,Tap the stop recording button and resume recording your route.,
Clew/localizations/en.lproj/Localizable.strings,addingALandmarkTutorialTextParagraph4,Instruction for how to add a landmark paragraph 4,"When you navigate your route, Clew will play your voice note when you pass through your recorded landmark. You can record as many voice notes as you want.",
Clew/localizations/en.lproj/Localizable.strings,addingALandmarkTutorialTitle,Title for the add a landmark  section of the tutorial,Adding a Landmark - Voice Notes,
Clew/localizations/en.lproj/Localizable.strings,adjustOffsetAlertContent,this is the content of an alert which tells the user that they should consider enabling the adjust offset feature.,"While you were recording this route, the app determined that your phone's rear camera was not pointing straight ahead. When navigating the recorded route, if your phone is not pointing straight ahead, the app's directional guidance may be confusing. If it is difficult for you to keep you phone pointing straight ahead, the app can automatically adjust its guidance so that it is relative to your body rather than the phone's direction.  Would you like enable this feature?  You can always disable this feature in the settings menu under ""Correct Offset of Phone / Body.""  Important details of this feature are available in the help menu.","عند قيامك بتسجيل هذا الطريق, لاحظ التطبيق بأن الكاميرا الخلفية لهاتفك لم تكن موجهة للأمام مباشرة.
وبما أن هاتفك لم يكن موجها للأمام مباشرة، فعند التنقل في الطريق المسجل، ربما تخطئ الاتجاهات قليلا.
إذا كان من الصعب عليك وضع الهاتف في اتجاه ثابت، فيمكن للتطبيق تعديل اتجاهاته تلقائيا، بحيث يكون التطبيق معتمدا على جسمك بدلا من كاميرا الهاتف.
هل تريد تفعيل هذه الميزة؟
ويمكنك دائما تعطيل هذه الميزة عن طريق قائمة الإعدادات داخل خيار  ""ضبط موازنة الهاتف مع الجسم.""
تتوفر معلومات مهمة لهذه الميزة داخل قائمة المساعدة."
Clew/localizations/en.lproj/Localizable.strings,adjustOffsetReminderAnnouncement,This is the announcement which is spoken after starting navigation if the user has enabled the Correct Offset of Phone / Body option.,Correction for phone / body offset will be updated as you start walking.,سيتم تحديث التصحيح التلقائي لإزاحة الهاتف / الجسم عندما تبدء بالسير
Clew/localizations/en.lproj/Localizable.strings,alignToAnchorPointButtonText,The text shown on the button that aligns to the anchor point during the tutorial,Find Anchor Point,
Clew/localizations/en.lproj/Localizable.strings,anchorPointAlignmentText,Text describing the process of aligning to an anchorpoint. This text shows up on the alignment screen.,Please align your device with your previously recorded anchor point. To do this hold your device flat with the screen pointing up. Press the top (short) edge flush with the same vertical surface that you used to create the anchor point. Activating the align button will start an alignment countdown this is intended to give you time to make final adjustments to the positioning of your device. At the end of the countdown the alignment will be taken and the device will provide an announcement indicating that the anchor point was saved.,"الرجاء محاذة هاتفك مع نفس النقطة الثابتة التي قمت بتسجيلها مسبقًا. وللقيام بذلك، يجب عليك وضع هاتفك بشكل ثابت، ثم وجه الشاشة لأعلى واضغط على الجزء العلوي (الزاوية القصيرة من الهاتف)، استخدم نفس الطريقة المستخدمة عند تسجيل النقطة الثابتة.
عند تفعيل زر المحاذاة سيبدأ العد التنازلي للمحاذاة، ويهدف هذا الزر لمنحك الوقت لإجراء التعديلات النهائية على اتجاه جهازك. في نهاية العد التنازلي، سيتم اعتماد اتجاه الجهاز وسيعلمك الهاتف بأنه قد تم حفظ النقطة الثابتة بنجاح."
Clew/localizations/en.lproj/Localizable.strings,anchorPointIntroductionToSavedText,This is the text which delineates the text that a user saved witht their saved anchor point. This text is shown when a suer loads an anchor point and the text that the user saved with their anchor point appears right after this string.,The Anchor Point information you entered is: ,معلومات النقطة الثابتة التي أدخلتها هي:
Clew/localizations/en.lproj/Localizable.strings,anchorPointPop-UpCancel,A button for user to click which will close the pop up without saving any information the user put in,Don't specify this information,لا تُفصّل هذهي المعلومات
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeAlignTextParagraph1,Align to anchor point page instructions paragraph 1,Nice Job! You've set an anchor point!,
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeAlignTextParagraph2,Align to anchor point page instructions paragraph 2,"Now that you've saved an anchor point, try walking away from it- or wait a few minutes to return to the next exercise.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeAlignTitle,Align to anchor point page title,Align to Anchor Point,
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeFeedbackBadText,anchor point not well aligned text,"Oh no, try again! You were poorly aligned to the saved anchor point. This would have resulted in a route navigation with significant errors. Try practicing again to get a perfect alignment.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeFeedbackGoodText,anchor point well aligned text,"Good job! You were fairly aligned to the saved anchor point, which would have resulted in a route navigation with some potential misalignment. Try practicing again to get a perfect alignment.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeFeedbackPerfectText,anchor point perfectly aligned text,"Great job! You were very well aligned to the saved anchor point, which would have resulted in a very good route navigation. You now know how to find and align to anchor points and you're ready to start saving routes.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeRetryAlignButton,button text to retry aligning the anchor point,Retry Finding Anchor Point Step,
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeRetryButton,button text to retry setting the anchor point,Restart Practice,
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeSetTutorialTextParagraph1,Set an anchor point practice page instructions paragraph 1,"This exercise will have you practice setting an anchor point. Remember to choose a location for your anchor point that you can easily find at some later time. You'll practice setting the anchor point using the physical alignment method. Remember to position your phone flat with the screen facing up against a vertical edge of a wall, or doorframe or a table.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeSetTutorialTextParagraph2,Set an anchor point practice page instructions paragraph 2,"Press the Set Anchor Point button, position your phone, and wait for the countdown.",
Clew/localizations/en.lproj/Localizable.strings,anchorPointPracticeSetTutorialTitle,"You could also try pressing the top edge of your phone against a table, wall or doorway and then setting the anchor point. That way when you go to find the spot where you should set the anchor point again, you only have to find a table or wall again and then you know you're at least pretty close."";",Setting an Anchor Point,
Clew/localizations/en.lproj/Localizable.strings,anchorPointTextHeading,Anchor Points,Anchor Point information,معلومات النقطة الثابتة
Clew/localizations/en.lproj/Localizable.strings,anchorPointTextPlaceholder,A placeholder that appears in text box which the user uses to enter a text label for an anchor point.,Enter Anchor Point information,أدخل معلومات النقطة الثابتة
Clew/localizations/en.lproj/Localizable.strings,anchorPointTextPop-UpConfirmation,"A button for user to click to confirm the text note they added to their anchor point and close a pop-up
   What the user clicks to acknowledge a message and dismiss pop-up",Ok,موافق
Clew/localizations/en.lproj/Localizable.strings,anchorPointTextPrompt,Prompts user to enter descriptive text about their anchor point,Enter text about the Anchor Point that will allow you to find the exact same point later on.,أدخل نصًا حول النقطة الثابتة التي تمكنك من العثور عليها لاحقا.
Clew/localizations/en.lproj/Localizable.strings,anchorPointsTutorialText,Instructions for setting anchor points,Setting anchor points is an important skill that is needed in order to save routes or pause navigation. Anchor points allow Clew to record your position and orientation within the route's environment. The anchor point realigns you to the correct path whenever you want to navigate a route that has been saved for later use and they are essential to Clew's navigation accuracy.,
Clew/localizations/en.lproj/Localizable.strings,anchorPointsTutorialTitle,"this is the title of the anchor points tutorial section
   Title for the anchor point part of the tutorial",Setting and Finding Anchor Points,
Clew/localizations/en.lproj/Localizable.strings,appFeaturesCurrentVersionHeading,this is a heading in the help documentation and part of the app features section.,Current Version,الإصدار الحالي
Clew/localizations/en.lproj/Localizable.strings,appFeaturesFutureVersionsContent,this is a paragraph in the app Features section of the help documentation which describes the features which are under development for future versions of the app.,We are working on improving alignment mechanisms to make it easier and quicker to begin navigation of routes.,نحن نعمل جاهدين على تحسين آلِيَّة مناسبة لجعل عملية الملاحة  أسهل وأسرع.
Clew/localizations/en.lproj/Localizable.strings,appFeaturesFutureVersionsHeader,This is a heading in the app features section of the help documentation.,Future Versions,الإصدارات المستقبلية
Clew/localizations/en.lproj/Localizable.strings,appFeaturesHeading,this is a heading in the help documentation. it is also used for the creation of the accessibility labels used to inform the user as to how to interact with the help documantatio's accordian menu,App features,مميزات التطبيق
Clew/localizations/en.lproj/Localizable.strings,appSoundsAndTheirMeaningsContent,This is a paragraph in the App sounds and their meanings section.,"In addition to the auditory guidance that you get when navigating along a route (described previously), there are some additional sounds that help you understand what is currently happening with the app. If you have enabled the speech feedback option in the app settings, each of these sounds is accompanied by speech that briefly explains the sounds meaning. Note that these sounds are not delivered when you are in the help menu (to avoid distracting you while you are reading through the help information).","بالإضافة إلى الإشارات الصوتية التي تحصل عليها أثناء تنقلك عبر الطريق، (الموصوفة مسبقا)، تتوفر أيضا مجموعة إضافية من الأصوات التي تساعدك على فهم الإحداث الحالية التي تَحدُث في التطبيق.
إذا قمت مسبقا بتفعيل خيار تعليقات الكلام عن طريق إعدادات التطبيق، فسيكون كل صوت من هذه الأصوات مصحوبا بجملة تَِصف المعنا الخاص بالصوت.
لاحظ بأن هذه الأصوات لا تصلك عندما تكون في قائمة المساعدة (وذلك لتجنب إزعاجك أثناء تنقلك بين المعلومات)."
Clew/localizations/en.lproj/Localizable.strings,appSoundsAndTheirMeaningsHeader,This is a section header in the help documentation,App sounds and their meanings,أصوات التطبيق ومعانيها
Clew/localizations/en.lproj/Localizable.strings,appSoundsAndTheirMeaningsMotionTrackingWarningSoundBullet,This is a bullet point which describes the motion tracking warning sound and its meaning,Motion tracking warning sound: this sound is a short recording of a stringed instrument playing a slightly scratchy note. This sound indicates that the app's position tracking has been degraded either due to the phone moving too rapidly or due to the environment not having an adequate amount of visual detail. The latter condition occurs if your environment is too dark or if the camera is occluded.,"صوت تحذير تتبع الحركة: هو عبارة عن مقطع صوتي قصير لآلة وترية خشنة. ويشير هذا الصوت بأن تتبع التطبيق للحركة قد انخفض إما بسبب تحرك الهاتف بسرعة أو بسبب انعدام الضوضاء في المكان. ويحدث هذا الأمر إذا كانت المنطقة مظلمة جدا أو إذا كان مدخل الكاميرا مغلقاً.
"
Clew/localizations/en.lproj/Localizable.strings,appSoundsAndTheirMeaningsNormalMotionTrackingSoundBullet,This is a bullet point which describes the normal motion tracking sound and its meaning,"Normal motion tracking sound: this sound is a short recording of a brass instrument. It indicates that the app's position tracking has entered into the &quot;normal&quot; state. If the app has just started up this means that the motion tracking is now active. If the app previously experienced diminished accuracy, see next sound description, it means that the motion tracking has recovered. If you hear this sound after loading or resuming a route, this means that ARKit has been able to automatically align the route to the recording.",صوت تتبع الحركة العادي: هو عبارة عن صوت آلة نحاسية قصير. ويشير هذا الصوت إلى أن تتبع الحركة في التطبيق هو طبيعياً. إذا بدأ التطبيق للتو، فهذا يعني أن تتبع الحركة نشط. وإذا كان التطبيق قد مرة سابقًا بضعف في الإضاءة، فقرء الوصف الصوتي التالي، فهذا يعني أن تتبع الحركة قد عاد لوضعه الطبيعي. أما إذا استمعت لهذا الصوت بعد تحميل أو استئناف الطريق، فهذا يعني أن الواقع الافتراضي قد تمكن من تعديل المسار تلقائياً.
Clew/localizations/en.lproj/Localizable.strings,appfeaturesCurrentVersionContent,this is a paragraph in the app features section of the help menu which describes the main features of Clew,"Clew allows you to record routes using your phone so that you can then navigate them at a later point in time with precise, automatic guidance from the app. Clew can be used in situations where you want to immediately navigate back to your starting location (e.g., if you went somewhere with a sighted guide or if it is harder to navigate the reverse journey) or when you want to remember a route that you are learning so you can navigate it more confidently in the future.  Importantly, Clew does not use your phone's GPS, so it can be used indoors.","يسمح لك Clew بتسجيل الطرق عن طريق هاتفك والذي يمكنك من استخدامهم في أوقات لاحقة بمصاحبة توجيهات تلقائية ودقيقة من التطبيق.
يمكن استخدام Clew لأغراض متعددة، إذا رغبت مثلا بالعودة مجددا إلى نقطة البداية لموقعك، (فعلى سبيل المثال)، إذا خرجت لمكان مع شخص مبصر، أو إذا كان من الصعب عليك العودة مجددا.
أو حتى إذا رغبت في تذكر طريق لكي تتعلمه، يمكنك التنقل به بحرية مطلقة في المستقبل.
معلومة مهمة: لا يستخدم Clew خدمات تحديد الموقع لهاتفك، فَيتيح لك هذا استخدامه في الأماكن المغلقة."
Clew/localizations/en.lproj/Localizable.strings,applesARWorldMapTutorialTextParagraph1,Text of the AR world map part of the tutorial paragraph 1,"Apple's ARWorld map can help make the process of finding and aligning to a saved anchor point easier. Especially for those that have newer iPhone models and for environments with consistent, artificial lighting, the physical alignment can simply be achieved by holding the phone in the vertical pose. However, we recommend that you be consistent in holding the phone pose and relocalizing yourself as best as possible to the originally saved anchor point in order to ensure the best accuracy from Clew.",
Clew/localizations/en.lproj/Localizable.strings,applesARWorldMapTutorialTextParagraph2,Text of the AR world map part of the tutorial paragraph 2,Next you will have a chance to practice setting and aligning to anchor points.  Tap the 'Practice' button to start the exercise.,
Clew/localizations/en.lproj/Localizable.strings,applesARWorldMapTutorialTitle,Title of the AR world map part of the tutorial,Apple's ARWorld Map,
Clew/localizations/en.lproj/Localizable.strings,automaticAlignmentPlayPauseViewText,Play/Pause text,You have been automatically realigned with your route. Press the play button to perform navigation.,تم إعادة محاذاتك تلقائيًا مع الطريق. اضغط على زر التشغيل لبدء التنقل.
Clew/localizations/en.lproj/Localizable.strings,automaticEmailTextWhenSharingRoutes,Sharing routes,Check out this route!,قم بتجربة هذا الطريق
Clew/localizations/en.lproj/Localizable.strings,badServiceButtonAccessibilityLabel,,Bad,رديء 
Clew/localizations/en.lproj/Localizable.strings,buttonTexttoExitTutorial,Tutorial,Exit,
Clew/localizations/en.lproj/Localizable.strings,buttonTexttoNextScreenTutorial,Text on the button that brings user to the next page of the tutorial,Next,
Clew/localizations/en.lproj/Localizable.strings,buttonTexttoSkip,"Text on skip button
   Text on the button that brings user to the next page of the tutorial
   Text on the button that brings user to the next section of the tutorial",Skip,
Clew/localizations/en.lproj/Localizable.strings,cancelPop-UpButtonLabel,A button which closes the current pop up,Cancel,إلغاء
Clew/localizations/en.lproj/Localizable.strings,clewAppLogoAccessibilityText,HelpCompiler.swift,The Clew App Logo,شعار تطبيق Clew
Clew/localizations/en.lproj/Localizable.strings,clewHelpTitle,This is the top heading of the help documentation,Clew Help,مساعد Clew 
Clew/localizations/en.lproj/Localizable.strings,climbStairsDirection,Strings from Navigation, and proceed upstairs,قم بصعود الدرج
Clew/localizations/en.lproj/Localizable.strings,completedNavigationAnnouncement,An announcement which is played to notify the user that they have arrived at the end of their route.,You've arrived.,لقد وصلت
Clew/localizations/en.lproj/Localizable.strings,contractSectionAccessibilityTag,This is a tag that is spoken by the accessibility elements. This tag describes the action a user must take to collapse one of the sections in the help documentation,contract section,طي القسم
Clew/localizations/en.lproj/Localizable.strings,currentSiriShortcuts,this is header text for the list of current Siri shortcuts the user has created within the Clew app,Current Siri Shortcuts for Clew,
Clew/localizations/en.lproj/Localizable.strings,declineTurnOnAdjustOffsetButton,A button which declines to turn on the adjust offset feature,No,لا
Clew/localizations/en.lproj/Localizable.strings,deleteActionText,This is the text that appears when a user tries to delete a saved route. This text is used in an option menu when a route is selected and it describes the action for deleting a route.,Delete,حذف
Clew/localizations/en.lproj/Localizable.strings,descendStairsDirection,This is a direction which instructs the user to descend stairs, and proceed downstairs,قم بنزول الدرج
Clew/localizations/en.lproj/Localizable.strings,directionalCuesTutorialInstructionText,Instructions for the directional cues part of the tutorial,"Clew will provide directional cues as soon as you begin navigating a route and to keep oriented correctly. The app will announce directions whenever you pass through a waypoint or virtual crumb. The directional cues include: continue straight, slight right, slight left, turn right, turn left. Clew will also announce when you have reached the end of the route.",
Clew/localizations/en.lproj/Localizable.strings,directionalCuesTutorialTitleText,Title for the directional cues part of the tutorial,Directional Cues,
Clew/localizations/en.lproj/Localizable.strings,dismissSurvey,"dismiss the keyboard in the feedback form
   this is the button text that dismisses the survey
   This is used for dismissing popovers",Dismiss,استبعاد
Clew/localizations/en.lproj/Localizable.strings,endOfTutorialMainText,the main text at the end of the Clew tutorial,Nice Job! You've completed the Clew tutorial. You can come back to this information at anytime through the menu options or by pressing the help button on the Clew main screen.,
Clew/localizations/en.lproj/Localizable.strings,endOfTutorialTitleText,The title of the tutorial page that shows up when you complete the tutorial,End of Tutorial,
Clew/localizations/en.lproj/Localizable.strings,enterAnchorPointDescriptionButtonAccessibilityLabel,This is the accessibility label for the button which allows the user to save a text based description of their anchor point when saving a route. This feature should allow the user to more easily realign with their anchorpoint.,Enter text to help you remember this Anchor Point,أدخل نصًا لمساعدتك على تذكر نقطة الثبات هذه
Clew/localizations/en.lproj/Localizable.strings,enterAnchorPointVoiceNoteButtonAccessibilityLabel,This is the accessibility label for the button which allows the user to save a voice note description of their anchor point when saving a route. This feature should allow the user to more easily realign with their anchorpoint.,Record audio to help you remember this Anchor Point,سجل مقطعا صوتيا لمساعدتك على تذكر نقطة الثبات هذه
Clew/localizations/en.lproj/Localizable.strings,excessiveMotionDegradedTrackingAnnouncemnt,An announcement which lets the user know that there is too much movement of their device and thus the app's ability to track a route has been lowered.,"Excessive motion.
Tracking performance is degraded.",حركة زائدة. تتبع الأداء منخفض.
Clew/localizations/en.lproj/Localizable.strings,exitTutorial,Text on the button that exits the tutorial after the user has gone through it the whole thing,Exit Tutorial,
Clew/localizations/en.lproj/Localizable.strings,expandSectionAccessibilityTag,This is a tag that is spoken by the accessibility elements. This tag describes the action a user must take to expand one of the sections in the help documentation,expand section,فتح القسم
Clew/localizations/en.lproj/Localizable.strings,feedbackButtonAccessibilityLabel,,Feedback,الاهتزازات
Clew/localizations/en.lproj/Localizable.strings,feedbackMenuTitle,FeedbackViewController.swift,Contact Us,ملاحظات حول Clew
Clew/localizations/en.lproj/Localizable.strings,findPathPractice1InstructionTextParagraph1,Text for the instructions of the first following route practice paragraph 1,This first exercise will have you practice the simple route in order to get you accustomed to Clew's sounds and feedback. This first route will guide you forward a few steps and then announce the end of the route. Pay particular attention to the sounds and directional cues.,
Clew/localizations/en.lproj/Localizable.strings,findPathPractice1InstructionTextParagraph2,Text for the instructions of the first following route practice paragraph 2,Please make sure that you're in a familiar area with sufficient space to move about before you begin this exercise. ,
Clew/localizations/en.lproj/Localizable.strings,findPathPractice1InstructionTextParagraph3,Text for the instructions of the first following route practice paragraph 3,Tap the 'Practice' button and then tap 'Play' to begin the exercise.,
Clew/localizations/en.lproj/Localizable.strings,findPathPractice1Title,Text for the title of the first following route practice.,Practice Your First Route,
Clew/localizations/en.lproj/Localizable.strings,findPathPractice2InstructionText,Text for the instructions of the second following route practice.,Here you will practice following a Clew Route. Make sure you are in a familiar place with some open space around you. This path will guide you forward a few steps and then you will pass through a waypoint and be instructed to turn right. Then you will take a few more steps and then arrive. Select begin to enter the practice route.,
Clew/localizations/en.lproj/Localizable.strings,findPathPractice2Title,Text for the title of the second following route practice.,Practice Second Path,
Clew/localizations/en.lproj/Localizable.strings,findPathPracticeSuccess1Text,Text for the success of the first practice route.,You've completed your first route. Continue to the next exercise to try another route.,
Clew/localizations/en.lproj/Localizable.strings,findPathPracticeSuccess2Text,Text for the success of the second practice route.,You now know how to navigate a route! You may continue the tutorial or go to the Home Screen and try performing a Single Use Route. Remember that practice makes perfect!,
Clew/localizations/en.lproj/Localizable.strings,findPathPracticeSuccessTitle,Text for the title of the success page for following route practice.,Congratulations!,
Clew/localizations/en.lproj/Localizable.strings,findPathTutorialButtonText,Title for the finding and following path part of the tutorial,Following a Route,
Clew/localizations/en.lproj/Localizable.strings,findPathTutorialInstructionText,Text that explains what it sounds and feels like to be on the path and following the path,"Clew will make sounds, haptic feedback and provide directional audio cues whenever you are navigating a route. These distinct sounds, feedback and directional cues enable you to navigate the route correctly. They help you know when you are correctly on the path or if you are slightly off the correct path or have completely deviated from the route.",
Clew/localizations/en.lproj/Localizable.strings,findingAnAnchorPointTutorialTextParagraph1,Text of the finding your anchor point part of the tutorial paragraph 1,"The accuracy of the navigation will depend on how well you can realign yourself to the saved anchor point. To find and realign yourself to a saved anchor point, you should try to position yourself as closely as possible to the exact location of the originally saved anchor point.",
Clew/localizations/en.lproj/Localizable.strings,findingAnAnchorPointTutorialTextParagraph2,Text of the finding your anchor point part of the tutorial paragraph 2,"Finding the saved anchor point from the physical alignment requires you to hold your phone in the same horizontal or flat pose, pressing it against the same edge that was used to set the anchor point.",
